Date,Source,Site.ID,POC,Daily.Max.1.hour.NO2.Concentration,UNITS,DAILY_AQI_VALUE,Site.Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2016,AQS,360050110,1,17.7,ppb,16,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
1/2/2016,AQS,360050110,1,22.3,ppb,21,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
1/3/2016,AQS,360050110,1,30.1,ppb,28,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
1/4/2016,AQS,360050110,1,21.1,ppb,20,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
1/5/2016,AQS,360050110,1,39.1,ppb,37,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
1/6/2016,AQS,360050110,1,53.2,ppb,50,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
1/7/2016,AQS,360050110,1,60.8,ppb,57,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
1/8/2016,AQS,360050110,1,44.6,ppb,42,IS 52,22,92,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
1/9/2016,AQS,360050110,1,24.3,ppb,23,IS 52,20,83,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
1/10/2016,AQS,360050110,1,19.1,ppb,18,IS 52,24,100,42602,Nitrogen dioxide (NO2),35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,5,Bronx,40.816,-73.902
