Date,Source,Site ID,POC,Daily.Max.8.hour.Ozone.Concentration,UNITS,DAILY_AQI_VALUE,Site.Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2016,AQS,360010012,1,0.031,ppm,29,LOUDONVILLE,17,100,44201,Ozone,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/2/2016,AQS,360010012,1,0.027,ppm,25,LOUDONVILLE,17,100,44201,Ozone,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/3/2016,AQS,360010012,1,0.026,ppm,24,LOUDONVILLE,17,100,44201,Ozone,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/4/2016,AQS,360010012,1,0.026,ppm,24,LOUDONVILLE,17,100,44201,Ozone,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/5/2016,AQS,360010012,1,0.025,ppm,23,LOUDONVILLE,17,100,44201,Ozone,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/6/2016,AQS,360010012,1,0.016,ppm,15,LOUDONVILLE,17,100,44201,Ozone,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/7/2016,AQS,360010012,1,0.009,ppm,8,LOUDONVILLE,17,100,44201,Ozone,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/8/2016,AQS,360010012,1,0.024,ppm,22,LOUDONVILLE,17,100,44201,Ozone,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/9/2016,AQS,360010012,1,0.024,ppm,22,LOUDONVILLE,17,100,44201,Ozone,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/10/2016,AQS,360010012,1,0.032,ppm,30,LOUDONVILLE,17,100,44201,Ozone,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/11/2016,AQS,360010012,1,0.032,ppm,30,LOUDONVILLE,17,100,44201,Ozone,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/12/2016,AQS,360010012,1,0.029,ppm,27,LOUDONVILLE,17,100,44201,Ozone,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/13/2016,AQS,360010012,1,0.033,ppm,31,LOUDONVILLE,17,100,44201,Ozone,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/14/2016,AQS,360010012,1,0.02,ppm,19,LOUDONVILLE,17,100,44201,Ozone,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/15/2016,AQS,360010012,1,0.01,ppm,9,LOUDONVILLE,17,100,44201,Ozone,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
1/16/2016,AQS,360010012,1,0.033,ppm,31,LOUDONVILLE,17,100,44201,Ozone,10580,"Albany-Schenectady-Troy, NY",36,New York,1,Albany,42.68075,-73.75733
